EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
247850716,04 44 44.826,+24 45 25.29,0,11.493,,,574-011668,04444481+2445251,,STAR,gri,,12.4,0.7,-0.6,1.3,,,13.114,0.02,11.933,0.05,,,12.548,0.02,11.539,0.05,11.041,0.07,,,9.664,0.021,9.291,0.019,9.112,0.017,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,17.5,
247850949,05 01 18.741,+24 45 31.80,0,15.98,,,574-013072,05011873+2445317,6003-301-4-0226-0307,STAR,BV,,1.3,4.6,-2.7,4.8,,,16.889,0.093,16.143,0.069,,,16.546,0.03,,,,,,,14.012,0.032,13.619,0.047,13.411,0.04,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.5,
247851007,04 29 55.086,+24 45 33.31,1,13.417,,,574-011092,,,STAR,gri,,3.1,3.6,2.6,3.6,,,15.269,0.1,13.988,0.01,,,14.615,0.05,13.561,0.03,12.904,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247851065,04 57 38.593,+24 45 34.78,0,15.887,,,574-012643,04573858+2445349,6003-301-5-0222-0692,STAR,JHK,,-14.6,5.8,-33.3,5.8,,,,,,,,,,,,,,,,,13.505,0.025,12.76,0.025,12.604,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,33.9,1147-0062904
247851087,05 01 40.398,+24 45 35.41,1,15.93,,,,05014039+2445354,6003-301-4-0227-0547,STAR,gri,rpm,51,3,-92,3,,,,,,,20.432,0.049,17.893,0.006,16.529,0.005,15.088,0.005,14.322,0.005,12.938,0.024,12.429,0.03,12.181,0.021,3745,112,134,4.967,0.066,0.03,-0.06,0.12,0.4,0.31,0.032,0.063,0.329,0.044,0.08,10.67,5.042,1.631,100.7,29.03,30.07,0.095,0.019,0.026,AAA-222-111-000-0-0,27.6,
247851112,04 46 56.582,+24 45 36.08,0,14.92,,,574-011732,04465658+2445359,3559-301-2-0068-0098,STAR,JHK,,-3.3,4.4,2.4,4.7,,,,,,,,,,,,,,,,,12.119,0.024,11.272,0.025,10.963,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.9,
247851743,04 26 51.105,+24 45 51.10,0,15.27,,,574-011064,04265111+2445510,3512-301-2-0034-0032,STAR,JHK,,-1.3,17.6,-10.8,17.6,,,,,,,,,,,,,,,,,12.751,0.045,11.966,0.057,11.688,0.048,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.7,
247851762,04 59 35.366,+24 45 51.59,0,17.547,,,,04593536+2445515,,STAR,JHK,,-10,9,-20,4,,,,,,,,,,,,,,,,,15.16,0.039,14.612,0.049,14.257,0.055,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-c00-0-0,6.6,1147-0063787
247851847,04 55 32.352,+24 45 53.74,0,15.95,,,574-012412,04553234+2445536,6003-301-6-0219-0371,STAR,BV,,5.3,3.3,-1.2,3.3,,,16.848,0.09,16.11,0.068,,,,,,,,,,,14.398,0.033,14.006,0.033,13.987,0.046,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,18.6,
247851850,04 55 43.205,+24 45 53.77,1,12.96,,,574-012427,04554320+2445537,,STAR,gri,lam,6.6,1.8,-7.3,2.3,,,14.131,0.01,13.245,0.04,,,13.664,0.01,12.954,0.02,12.658,0.03,,,11.503,0.021,11.148,0.022,11.024,0.022,5977,120,168,4.405,0.05,0.09,-0.04,0.1,0.12,1.069,0.116,0.076,1.071,0.056,0.067,0.844,0.171,0.215,371.3,44.54,33.45,0.358,0.122,0.076,AAA-222-111-000-0-0,10.2,
247851877,04 26 51.461,+24 45 54.32,0,14.412,,,,04265146+2445543,,STAR,J,,,,,,,,,,,,,,,,,,,,,,13.082,0.026,12.118,0.03,11.714,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,5.7,1147-0054582
247852052,04 44 53.845,+24 45 58.72,0,17.044,,,,04445384+2445587,4334-301-5-0199-0355,STAR,gri,,-66,3,-22,3,,,,,,,21.732,0.101,19.128,0.01,17.41,0.006,16.151,0.005,15.464,0.005,14.049,0.026,13.402,0.032,13.159,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,23.7,
247852208,04 45 17.580,+24 46 02.60,0,11.86,,,574-011688,04451757+2446027,,STAR,gri,,6.7,3.9,0.5,4.4,,,15.969,0.06,13.283,0.06,,,14.721,0.03,12.192,0.06,10.634,0.08,,,7.584,0.02,6.427,0.017,6.006,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,37.7,
247852254,04 55 26.320,+24 46 03.82,0,14.993,,,574-012402,04552632+2446037,6003-301-6-0219-1034,STAR,gri,,-18.4,2.9,6.5,3,,,17.397,0.13,15.901,0.062,,,16.683,0.03,15.248,0.059,14.269,0.06,,,12.491,0.024,11.883,0.024,11.658,0.024,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.7,
247852552,04 34 42.770,+24 46 11.26,0,17.569,,,,04344277+2446112,3559-301-2-0049-0608,STAR,gri,,1,3,0,3,,,,,,,20.02,0.034,18.445,0.007,17.593,0.006,17.194,0.006,16.934,0.01,15.932,0.086,15.383,0.116,15.232,0.142,,,,,,,,,,,,,,,,,,,,,,,,,ABB-222-111-000-0-0,43.2,
247852617,04 52 55.122,+24 46 12.94,1,14.783,,,574-012119,04525511+2446130,,STAR,gri,rpm,25.1,2.8,-8.1,3.1,,,16.787,0.08,15.344,0.051,,,16.251,0.13,14.733,0.04,14.154,0.05,,,12.561,0.021,11.81,0.022,11.649,0.022,4210,155,129,4.754,0.045,0.054,0.008,0.09,0.18,0.534,0.064,0.049,0.609,0.064,0.053,3.845,0.821,0.874,195.1,30.46,22.81,0.363,0.176,0.126,AAA-222-111-000-0-0,18.9,
247852642,04 52 32.760,+24 46 13.38,0,15.872,,,574-012072,04523275+2446133,3559-301-2-0076-0893,STAR,JHK,,-1.7,4.7,-5.8,4.2,,,,,,,,,,,,,,,,,13.327,0.023,12.627,0.023,12.328,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,11.6,
247853291,04 48 09.857,+24 46 29.39,1,19.474,,,,,3559-301-2-0070-0557,STAR,gri,,0,5,1,5,,,,,,,22.824,0.31,20.873,0.03,19.63,0.016,18.875,0.013,18.307,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247853333,04 41 34.356,+24 46 30.51,0,15.354,,,574-011561,04413435+2446305,4334-301-6-0195-0166,STAR,JHK,,10.4,9,-55.2,9,,,,,,,,,,,,,,,,,13.434,0.042,12.865,0.048,12.675,0.039,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-222-ccc-0-0,3.5,1147-0057811
247853586,04 25 49.964,+24 46 37.13,0,17.57,,,,04254996+2446371,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.069,0.087,15.241,0.089,14.834,0.095,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,27,1147-0054389
247853690,04 51 40.582,+24 46 39.35,0,14.835,,,574-011967,04514056+2446393,3559-301-2-0075-0157,STAR,BV,,6.1,3,-20.3,3.4,,,16.152,0.05,15.037,0.046,,,,,,,,,,,12.551,0.021,12.074,0.025,11.902,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,16.8,
247853959,04 45 06.962,+24 46 45.71,0,11.899,,,574-011681,04450694+2446457,,STAR,gri,,-0.8,2.8,-21,3.1,,,15.35,0.05,12.979,0.04,,,14.236,0.03,12.045,0.06,10.898,0.07,,,8.248,0.02,7.304,0.026,6.941,0.016,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,22.8,
247853980,04 42 41.684,+24 46 46.08,0,17.329,,,,04424168+2446460,,STAR,J,,,,,,,,,,,,,,,,,,,,,,15.845,0.076,14.93,0.078,14.391,0.068,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,33.6,1147-0058119
247854277,04 48 29.451,+24 46 54.02,0,14.282,,,574-011766,04482944+2446540,3559-301-2-0070-0037,STAR,gri,,3.9,4.1,-7.7,4.6,,,16.323,0.07,14.943,0.05,,,15.705,0.02,14.406,0.01,13.672,0.03,,,11.934,0.022,11.478,0.022,11.25,0.017,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,25.4,
247854303,04 42 27.926,+24 46 54.79,0,15.086,,,574-011590,04422792+2446547,4334-301-6-0196-0053,STAR,gri,,3.9,3.6,-14.4,4,,,17.494,0.15,15.828,0.061,,,16.566,0.06,15.232,0.059,14.452,0.079,,,12.634,0.023,11.999,0.023,11.85,0.022,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.8,
247854419,04 48 22.895,+24 46 57.59,1,14.737,,,574-011758,04482289+2446574,3559-301-2-0070-0206,STAR,JHK,rpm,-1.8,5.7,-2.9,4.7,,,,,,,,,,,,,,,,,12.132,0.021,11.31,0.02,11.039,0.017,4801,148,148,2.48,0.32,0.16,-0.316,0.16,0.28,10.491,1.823,3.463,1.251,0.346,0.288,0.001,0.002,4.04E-04,2733,592.3,762.1,1.445,0.185,0.246,AAA-222-111-000-0-0,24.8,
247854523,04 53 30.306,+24 47 00.32,0,16.8,,,,04533030+2447003,4334-301-3-0211-0852,STAR,gri,,32,3,-31,3,,,,,,,21.458,0.09,18.697,0.008,17.054,0.005,15.987,0.005,15.385,0.006,13.962,0.026,13.323,0.028,13.031,0.03,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,19.5,
247854634,04 53 41.676,+24 47 03.07,1,13.823,,,574-012205,04534168+2447031,,STAR,BV,lam,-1,5.1,-8.7,5,,,14.882,0.02,14.027,0.036,,,,,,,,,,,12.166,0.024,11.75,0.026,11.636,0.026,5999,142,142,4.382,0.06,0.12,-0.149,0.12,0.15,1.062,0.171,0.085,1.043,0.068,0.096,0.814,0.23,0.276,495,77.28,48.72,0.396,0.154,0.096,AAA-222-211-c00-0-0,5.5,
247855167,04 53 41.775,+24 47 16.70,0,13.922,,,574-012206,04534177+2447168,,STAR,JHK,,8.7,3,2.2,3.3,,,,,,,,,,,,,,,,,11.726,0.021,11.075,0.022,10.885,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,13.8,
247855217,04 30 19.219,+24 47 17.90,0,13.012,,,574-011107,04301921+2447180,3559-301-2-0043-0133,STAR,J,,6.1,2.9,-3.4,3.8,,,,,,,,,,,,,,,,,11.472,0.021,10.536,0.022,10.271,0.019,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,59,
247855792,04 55 44.204,+24 47 33.18,1,14.491,,,574-012431,04554420+2447331,6003-301-6-0220-0095,STAR,BV,rpm,-0.1,3.1,-7.1,3.4,,,15.725,0.07,14.676,0.03,,,15.218,0.1,,,,,,,12.691,0.021,12.306,0.022,12.131,0.021,6291,416,346,4.12,0.215,0.258,-0.087,0.15,0.18,1.524,0.726,0.423,1.25,0.254,0.212,0.278,0.352,0.174,906.1,344.7,249.7,0.78,0.288,0.24,AAA-222-111-000-0-0,14.4,
247855927,04 57 29.073,+24 47 36.44,1,15.961,,,574-012627,04572907+2447364,6003-301-5-0222-0144,STAR,JHK,rpm,20.4,5.8,-37.9,5.9,,,,,,,,,,,,,,,,,13.491,0.024,12.818,0.026,12.554,0.022,3716,170,142,4.957,0.066,0.088,-0.06,0.15,0.18,0.321,0.093,0.061,0.349,0.105,0.087,10.07,4.154,3.861,144.3,58.96,27.81,0.333,0.108,0.126,AAA-222-111-000-0-0,32.4,
247855942,04 45 44.663,+24 47 36.74,0,15.495,,,574-011700,04454464+2447367,4334-301-5-0200-0306,STAR,JHK,,3.6,4.7,-5.7,4.9,,,,,,,,,,,,,,,,,13.061,0.023,12.388,0.025,12.14,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,32.9,
247855989,04 28 27.341,+24 47 38.19,0,13.239,,,574-011078,04282735+2447382,,STAR,gri,,-16,2.8,14.9,3.3,,,15.343,0.07,13.941,0.03,,,14.661,0.05,13.369,0.04,12.63,0.02,,,10.893,0.022,10.326,0.02,10.103,0.017,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,19.1,
247856030,04 25 15.134,+24 47 39.06,0,14.402,,,574-011022,04251513+2447390,,STAR,gri,,-2,4,-20.2,4.8,,,16.612,0.11,15.1,0.047,,,15.862,0.04,14.458,0.05,13.776,0.05,,,12.088,0.023,11.385,0.022,11.197,0.019,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,26.4,
247856153,04 23 58.601,+24 47 42.30,0,13.41,,,574-010960,04235860+2447422,,STAR,gri,,2.6,4.2,-9.2,7.7,,,15.039,0.01,13.869,0.04,,,14.503,0.06,13.469,0.05,12.942,0.063,,,11.578,0.021,11.106,0.028,10.942,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,15.8,
247856182,04 52 39.544,+24 47 42.84,1,15.631,,,574-012080,04523953+2447429,3559-301-2-0076-0437,STAR,BV,rpm,3.3,2.9,-3.7,3.4,,,16.689,0.01,15.835,0.05,,,16.135,0.053,,,,,,,13.923,0.025,13.539,0.028,13.372,0.03,6145,321,267,4.256,0.155,0.248,-0.175,0.18,0.27,1.269,0.494,0.266,1.09,0.171,0.142,0.48,0.383,0.292,1275,448,282.9,0.658,0.226,0.188,AAA-222-111-000-0-0,11.1,
247856703,04 51 50.907,+24 47 55.10,0,13.953,,,574-011981,04515089+2447551,3559-301-2-0075-0229,STAR,BV,,15.2,3.6,3.1,4.1,,,15.075,0.053,14.114,0.02,,,,,,,,,,,13.034,0.021,12.838,0.026,12.744,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,11.5,
247856841,04 58 41.256,+24 47 58.65,0,14.991,,,574-012730,04584125+2447586,,STAR,gri,,6.2,4.5,-5.9,4.6,,,17.095,0.05,15.629,0.1,,,16.341,0.03,15.028,0.056,14.412,0.078,,,12.53,0.021,11.893,0.026,11.647,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,18.1,
247857108,04 47 35.151,+24 48 05.48,0,15.404,,,575-012082,04473513+2448053,3559-301-2-0069-0127,STAR,JHK,,12.2,6.9,-16.9,5.2,,,,,,,,,,,,,,,,,12.896,0.023,12.136,0.023,11.837,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.1,
247857136,04 53 34.754,+24 48 06.06,1,15.724,,,575-012522,04533475+2448061,4334-301-3-0211-0372,STAR,BV,rpm,-8.5,2.9,-4.5,3.3,,,17.027,0.1,15.923,0.063,,,,,,,,,,,13.424,0.024,12.771,0.023,12.643,0.024,4685,284,236,4.632,0.06,1.332,-0.11,0.18,0.33,0.689,3.071,0.082,0.752,0.189,0.095,2.228,0.642,2.208,428.1,1865,72.83,0.395,0.243,0.135,AAA-222-111-000-0-0,19.7,
247857404,04 46 34.605,+24 48 12.14,0,14.418,,,575-012053,04463457+2448119,,STAR,gri,,3.7,4.1,4,4.6,,,16.636,0.07,15.209,0.048,,,15.923,0.06,14.602,0.02,13.774,0.08,,,11.871,0.021,11.368,0.022,11.13,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,31.6,
247857813,04 52 31.380,+24 48 22.33,0,17.657,,,,04523138+2448223,,STAR,J,,,,,,,,,,,,,,,,,,,,,,16.15,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-266-300-c00-0-0,3.5,1148-0061909
247858133,04 26 58.109,+24 48 29.94,1,14.644,,,575-011248,04265812+2448300,3559-301-2-0037-0131,STAR,JHK,rpm,47.9,4.2,-35.3,4.6,,,,,,,,,,,,,,,,,11.917,0.02,11.091,0.022,10.784,0.022,4320,43,104,4.869,0.02,0.172,-0.461,0.56,0.35,0.418,0.19,0.008,0.477,0.193,0.01,6.422,0.385,3.459,175.2,65.55,5.257,1.012,0.042,0.312,AAA-222-111-000-0-0,42.4,
247858309,04 31 22.184,+24 48 34.43,1,13.629,,,575-011408,04312218+2448344,,STAR,gri,rpm,43,4.4,-32.7,5.2,,,15.603,0.09,14.333,0.04,,,14.988,0.07,13.765,0.01,13.047,0.08,,,11.198,0.022,10.576,0.022,10.354,0.02,3921,1489,161,4.854,0.06,1.74,-0.097,0.24,1.76,0.416,3.613,0.057,0.48,0.305,0.087,6.017,2.137,6.006,79.36,877.4,19.49,0.104,1.109,0.031,AAA-222-111-000-0-0,29.8,
247858389,04 34 20.206,+24 48 36.25,0,13.353,,,575-011547,04342020+2448362,,STAR,gri,,14.6,2.7,-7.4,3.2,,,15.561,0.06,14.068,0.036,,,14.78,0.08,13.47,0.043,12.741,0.03,,,10.84,0.022,10.189,0.022,9.959,0.017,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,30.6,
247858436,04 45 34.019,+24 48 37.48,0,14.771,,,575-012031,04453401+2448374,,STAR,gri,,14.1,3.8,1.9,4.4,,,17.145,0.11,15.634,0.056,,,16.427,0.05,14.921,0.11,14.061,0.03,,,12.427,0.022,11.839,0.021,11.6,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,37.8,
247858492,04 51 15.110,+24 48 38.75,0,16.037,,,575-012272,04511512+2448385,3559-301-2-0074-0782,STAR,JHK,,-1.9,4.4,-1.1,5.5,,,,,,,,,,,,,,,,,13.557,0.024,12.815,0.023,12.615,0.022,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,32.3,
247858795,04 59 17.919,+24 48 46.36,0,15.206,,,575-013225,04591792+2448464,,STAR,gri,,-2.6,5.1,0.3,5.1,,,17.782,0.18,16.014,0.065,,,16.76,0.03,15.295,0.02,14.54,0.05,,,12.521,0.021,11.708,0.023,11.484,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,26.5,
247858829,04 55 12.846,+24 48 47.07,1,15.365,,,575-012724,04551284+2448468,6003-301-6-0219-0313,STAR,BV,rpm,5.9,3,-2.2,3.3,,,16.471,0.03,15.582,0.01,,,15.947,0.02,,,,,,,13.727,0.023,13.367,0.026,13.321,0.033,6082,233,186,4.279,0.13,0.234,-0.205,0.2,0.28,1.213,0.41,0.202,1.057,0.137,0.114,0.57,0.355,0.332,1153,388.2,215.8,0.446,0.126,0.09,AAA-222-111-000-0-0,17.5,
247858941,04 42 02.379,+24 48 49.46,0,12.318,,,575-011937,04420239+2448495,,STAR,gri,,-16.5,4.2,10.3,2,,,13.821,0.044,12.705,0.031,,,13.257,0.032,12.276,0.04,11.916,0.06,,,10.713,0.023,10.123,0.023,10.011,0.016,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,24,
247858990,04 44 37.189,+24 48 50.49,0,17.335,,,,04443718+2448504,3559-301-2-0064-0241,STAR,gri,,-48,47,-114,6,,,,,,,22.135,0.162,19.439,0.012,17.973,0.007,16.434,0.005,15.578,0.005,14.185,0.028,13.683,0.034,13.289,0.036,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,34.1,1148-0059850
247859010,04 47 19.093,+24 48 51.01,0,12.895,,,575-012077,04471909+2448510,,STAR,gri,,0.3,3.6,3.2,4.2,,,17.064,0.1,14.336,0.038,,,15.686,0.04,13.17,0.07,11.699,0.06,,,8.717,0.026,7.489,0.02,7.082,0.024,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,34.9,
247859277,04 42 47.785,+24 48 57.48,0,18.038,,,,04424778+2448574,4334-301-6-0196-0495,STAR,gri,,27,3,-54,3,,,,,,,22.281,0.188,20.493,0.022,18.721,0.009,16.986,0.006,16.043,0.007,14.481,0.032,13.917,0.04,13.554,0.04,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,37.4,
247859629,04 48 31.648,+24 49 05.96,0,15.083,,,575-012114,04483164+2449058,,STAR,gri,,7.3,3.9,-14.2,4.3,,,17.489,0.117,15.787,0.06,,,16.532,0.06,15.261,0.059,14.461,0.08,,,12.636,0.023,12.226,0.023,11.955,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,14.1,
247859684,04 33 05.878,+24 49 07.33,0,15.763,,,575-011494,04330588+2449073,3559-301-2-0047-0247,STAR,JHK,,3.9,3.2,3.7,3.4,,,,,,,,,,,,,,,,,13.268,0.028,12.545,0.029,12.318,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-211-c00-0-0,4.8,
247859698,04 33 25.708,+24 49 07.71,0,14.629,,,575-011510,04332572+2449075,3559-301-2-0047-0108,STAR,JHK,,-8.5,17.2,-8.1,17.3,,,,,,,,,,,,,,,,,12.368,0.021,11.807,0.024,11.507,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,10.6,
247859850,04 26 48.862,+24 49 11.51,1,15.66,,,575-011240,04264888+2449116,3559-301-2-0037-0100,STAR,BV,rpm,-5.1,4.1,-7.2,4.9,,,16.959,0.15,15.858,0.061,,,,,,,,,,,13.345,0.021,12.919,0.024,12.745,0.023,6051,323,323,4.232,0.195,0.273,-0.13,0.16,0.28,1.262,0.566,0.294,1.058,0.19,0.136,0.464,0.472,0.29,930.8,380.4,231.2,0.753,0.264,0.22,AAA-222-111-000-0-0,17.9,
247859950,04 30 32.916,+24 49 14.12,0,15.534,,,575-011370,04303292+2449140,3559-301-2-0043-0180,STAR,JHK,,-13.5,3.6,-13,4.3,,,,,,,,,,,,,,,,,12.99,0.021,12.252,0.024,11.996,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,14.9,
247860015,04 41 53.221,+24 49 15.74,0,11.115,,,575-011932,04415321+2449158,,STAR,J,,1.5,3.7,-1,4,,,,,,,,,,,,,,,,,9.415,0.022,8.253,0.02,7.816,0.026,,,,,,,,,,,,,,,,,,,,,,,,,AAA-211-111-000-0-0,27.8,
247860347,04 41 57.169,+24 49 23.61,0,9.91,,1834-303-1,575-011934,04415717+2449236,,STAR,gri,,-12.8,1.1,11.1,1.1,,,10.53,0.042,9.978,0.035,,,10.504,0.03,9.872,0.04,9.655,0.06,,,8.828,0.018,8.569,0.024,8.506,0.014,,,,,,,,,,,,,,,,,,,,,,,,,AAA-112-111-000-0-0,25.9,
247860390,04 45 44.576,+24 49 24.68,0,16.012,,,,04454457+2449246,4334-301-5-0200-0315,STAR,gri,,-162,3,-124,3,,,,,,,20.713,0.052,18.191,0.006,16.699,0.005,15.078,0.005,14.228,0.004,12.807,0.023,12.257,0.022,11.998,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,25.4,
247860601,04 42 13.536,+24 49 29.89,0,15.177,,,575-011941,04421353+2449298,4334-301-6-0196-0153,STAR,JHK,,2.2,3.9,-10.3,5.3,,,,,,,,,,,,,,,,,13.29,0.023,12.717,0.024,12.541,0.024,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,13.5,
247860931,04 45 37.423,+24 49 38.24,0,14.781,,,575-012032,04453741+2449382,,STAR,gri,,14.6,3.8,-4,5,,,17.226,0.11,15.577,0.055,,,16.35,0.09,14.922,0.06,14.109,0.04,,,12.275,0.022,11.678,0.019,11.484,0.017,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,20.3,
247860961,04 54 00.272,+24 49 38.78,1,10.032,,1836-1043-1,575-012572,04540026+2449388,,STAR,gri,lam,25,1.4,-37.8,1.4,,,10.759,0.061,10.134,0.048,,,10.558,0.09,9.972,0.02,9.806,0.02,,,9.029,0.026,8.783,0.017,8.695,0.024,5916,142,142,4.391,0.054,0.09,0.073,0.08,0.1,1.085,0.129,0.078,1.084,0.067,0.056,0.821,0.143,0.226,128.6,16.69,14.77,0.165,0.086,0.032,AAA-112-111-000-0-0,25.7,
247861139,04 42 21.610,+24 49 42.71,0,14.9,,,575-011944,04422160+2449425,4334-301-6-0196-0190,STAR,JHK,,4.7,3.9,-4.5,4.2,,,,,,,,,,,,,,,,,12.229,0.025,11.372,0.021,11.114,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,37.8,
247861372,04 44 31.577,+24 49 48.39,0,15.333,,,575-012005,04443155+2449482,3559-301-2-0064-0018,STAR,BV,,15.9,3.7,-18,4.2,,,17.247,0.11,15.66,0.057,,,16.459,0.058,,,,,,,12.447,0.021,11.857,0.018,11.626,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,13.7,
247861510,04 28 25.150,+24 49 51.89,0,14.054,,,575-011305,04282514+2449519,3559-301-2-0040-0007,STAR,JHK,,7.2,4.4,-2.9,5.2,,,,,,,,,,,,,,,,,12.098,0.022,11.544,0.022,11.328,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,43,
247861526,04 44 49.073,+24 49 52.22,0,15.057,,,575-012012,04444906+2449522,3559-301-2-0065-0236,STAR,JHK,,2,3.7,-20.6,4.9,,,,,,,,,,,,,,,,,12.67,0.022,11.883,0.022,11.656,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,16.9,
247861551,04 45 15.705,+24 49 52.74,0,12.739,,,575-012024,04451569+2449525,,STAR,gri,,1.1,3.6,-0.8,4,,,16.921,0.08,14.416,0.039,,,15.824,0.06,13.23,0.04,11.417,0.06,,,8.211,0.024,6.987,0.021,6.58,0.017,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,36.4,
247861678,04 57 18.739,+24 49 56.40,1,12.408,,,575-012985,04571873+2449565,,STAR,gri,rpm,24.7,0.7,-42,1.5,,,13.527,0.043,12.708,0.01,,,13.082,0.01,12.42,0.041,12.12,0.01,,,10.993,0.021,10.639,0.022,10.523,0.017,6018,187,224,4.312,0.135,0.27,-0.305,0.2,0.72,1.147,0.362,0.204,0.939,0.104,0.083,0.616,0.406,0.342,324.3,41.25,62.87,0.453,0.065,0.13,AAA-222-111-000-0-0,11.5,
247861831,04 28 34.170,+24 49 59.91,0,11.524,,,575-011307,04283417+2450000,,STAR,gri,,0,1.4,-9.7,1.6,,,12.91,0.04,11.979,0.03,,,12.441,0.04,11.639,0.02,11.13,0.03,,,9.667,0.021,9.328,0.02,9.147,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,11.4,
247861898,04 45 54.776,+24 50 01.56,0,14.613,,,575-012039,04455476+2450013,,STAR,gri,,-5.2,3.8,-13.2,4.4,,,16.85,0.09,15.466,0.053,,,16.301,0.05,14.736,0.01,13.89,0.03,,,11.915,0.024,11.24,0.023,10.998,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,45.4,
